"","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","month","year"
"380597","1010","6",3516,"","SACRAMENTO","ST",1,"02","2017"
"380598","1010","6",3518,"","SACRAMENTO","ST",1,"02","2017"
"380623","1657","3",723,"","14TH","AV",1,"02","2017"
"380624","1657","3",725,"","14TH","AV",1,"02","2017"
"380923","806","19",708,"A","BUCHANAN","ST",1,"02","2017"
"380924","806","19",708,"","BUCHANAN","ST",1,"02","2017"
"380925","806","19",710,"","BUCHANAN","ST",1,"02","2017"
"384025","572","13",1452,"","BROADWAY","*",8,"02","2018"
"384026","572","13",1458,"","BROADWAY","*",8,"02","2018"
"384032","1383","31",258,"A","24TH","AV",1,"02","2018"
"384042","597","19",1565,"","JACKSON","ST",2,"02","2018"
"384043","3533","44",150,"","CLINTON","PK",1,"02","2018"
"384047","4260","14",1379,"A","KANSAS","ST",1,"02","2018"
"384048","4260","14",1379,"","KANSAS","ST",1,"02","2018"
"384050","2698","10",274,"A","DIAMOND","ST",1,"02","2018"
"384051","6597","007S",134,"A","TIFFANY","AV",3,"02","2018"
"384052","6597","007S",140,"A","TIFFANY","AV",3,"02","2018"
"384053","6597","007S",140,"B","TIFFANY","AV",3,"02","2018"
"384057","118","12",734,"","GREEN","ST",1,"02","2018"
"384058","118","12",738,"","GREEN","ST",1,"02","2018"
"384059","118","12",740,"","GREEN","ST",1,"02","2018"
"384061","1241","009B",65,"","BUENA VISTA EAST","AV",3,"02","2018"
"384064","1406","5",331,"","27TH","AV",1,"02","2018"
"384066","847","29",775,"","PAGE","ST",1,"02","2018"
"384074","6580","031B",4061,"","CESAR CHAVEZ","ST",1,"02","2018"
"384075","6580","031B",4063,"","CESAR CHAVEZ","ST",1,"02","2018"
"384077","1546","32",526,"","04TH","AV",1,"02","2018"
"384078","1546","32",528,"","04TH","AV",1,"02","2018"
"384096","6169","17",4,"","ANKENY","ST",1,"02","2018"
"384097","6939","16",423,"","FAXON","AV",1,"02","2018"
"384098","218","22",1547,"","CLAY","ST",2,"02","2018"
"384101","3552","44",1405,"","15TH","ST",1,"02","2018"
"384110","95","31",2125,"","HYDE","ST",1,"02","2018"
"384111","4030","31",655,"","KANSAS","ST",4,"02","2018"
"384116","3590","40",320,"C","CAPP","ST",1,"02","2018"
"384127","1853","004E",1561,"","07TH","AV",1,"02","2018"
"384138","1449","45",1657,"","CLEMENT","ST",1,"02","2018"
"384145","637","14",2018,"","WEBSTER","ST",2,"02","2018"
"384160","3598","9",3700,"","20TH","ST",1,"02","2018"
"384186","3148","11",36,"","NORTON","ST",1,"02","2018"
"384187","2187","17",2146,"","31ST","AV",1,"02","2018"
"384188","1523","32",460,"","22ND","AV",1,"02","2018"
"384196","634","15",2002,"","PIERCE","ST",1,"02","2018"
"384223","3562","21",313,"","CASTRO","ST",1,"02","2018"
"384282","278","16",1355,"","PINE","ST",2,"02","2018"
"384324","6442","14",37,"","NAYLOR","ST",1,"02","2018"
"384325","6442","14",39,"","NAYLOR","ST",1,"02","2018"
"384340","3706","93",706,"","MISSION","ST",69,"02","2018"
"384341","154","44",1371,"","BROADWAY","*",1,"02","2018"
"384342","154","44",1373,"","BROADWAY","*",1,"02","2018"
"384343","154","44",1375,"","BROADWAY","*",1,"02","2018"
"384394","3626","12",438,"","ALVARADO","ST",1,"02","2018"
"384395","3626","12",440,"","ALVARADO","ST",1,"02","2018"
"384514","670","11",1238,"","SUTTER","ST",37,"02","2018"
"384765","525","4",2335,"","LARKIN","ST",2,"02","2018"
"384794","95","31",2125,"","HYDE","ST",3,"02","2018"
"384831","2650","10",72,"","EUREKA","ST",1,"02","2018"
"384832","2650","10",74,"A","EUREKA","ST",1,"02","2018"
"384833","2650","10",74,"","EUREKA","ST",1,"02","2018"
"384909","827","11",742,"","OAK","ST",1,"02","2018"
