"address","...2","date","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","year","month","lat","lon","neighborhoods"
"126 DIAMOND COVE TERR , San Francisco, CA, USA",130419,"21/05/2013","4991","608",126,NA,"DIAMOND COVE","TR",6,"05",2013,37.7129,-122.394187,"Bayview Hunters Point"
"126 HAIGHT ST , San Francisco, CA, USA",364865,"05/12/2018","852","45",126,NA,"HAIGHT","ST",1,"12",2018,37.7729608,-122.42438562,"Hayes Valley"
"126 LAGUNA ST , San Francisco, CA, USA",525337,"29/09/2016","856","13",126,NA,"LAGUNA","ST",2,"09",2016,37.772252,-122.425133,"Hayes Valley"
"126 LAGUNA ST , San Francisco, CA, USA",422913,"12/07/2018","856","13",126,NA,"LAGUNA","ST",2,"07",2018,37.772252,-122.425133,"Hayes Valley"
"1260 FUNSTON AV , San Francisco, CA, USA",250911,"07/06/2007","1738","31",1260,NA,"FUNSTON","AV",1,"06",2007,37.7645708,-122.4705149,"Inner Sunset"
"1260 MINNESOTA ST , San Francisco, CA, USA",106152,"06/06/2014","4228","158",1260,NA,"MINNESOTA","ST",39,"06",2014,37.7545130612245,-122.390016326531,"Potrero Hill"
"1262 UNION ST , San Francisco, CA, USA",328715,"27/04/2018","96","25",1262,NA,"UNION","ST",3,"04",2018,37.7991816388889,-122.41984675,"Russian Hill"
"1262 UNION ST , San Francisco, CA, USA",403217,"31/01/2018","96","25",1262,NA,"UNION","ST",3,"01",2018,37.7991816388889,-122.41984675,"Russian Hill"
"1265 BAY ST , San Francisco, CA, USA",112493,"15/03/2013","473","015A",1265,NA,"BAY","ST",1,"03",2013,37.803668,-122.427883,"Marina"
"1265 BAY ST , San Francisco, CA, USA",24334,"13/08/2013","473","015A",1265,NA,"BAY","ST",1,"08",2013,37.803668,-122.427883,"Marina"
"1265 BAY ST , San Francisco, CA, USA",85168,"18/07/2013","473","015A",1265,NA,"BAY","ST",1,"07",2013,37.803668,-122.427883,"Marina"
