"","buyout_amount","address","nhood","long","lat","month","year"
"6014","75,690.00","2641 Mission Street","Mission","-122.41866255031461","37.75477422904228","12","2015"
"6016","25,000.00","1559 clay Street","Nob Hill","-122.41879677210129","37.79264989545897","5","2018"
"6018","49,600.00","2638 Post Street","Presidio Heights","-122.4452258120572","37.783646152357775","4","2018"
"6024","3,000.00","438 O’farrell Street","Tenderloin","-122.41202403469255","37.785942420396005","1","2021"
"6028","54,000.00","5717 Geary Boulevard","Outer Richmond","-122.48068659257873","37.78017753545713","5","2017"
"6034","32,500.00","829 Fillmore Street","Hayes Valley","-122.43149332700371","37.77706710417477","6","2015"
"6036","19,000.00","2188 Sutter Street","Pacific Heights","-122.43631936775719","37.78573202877466","6","2020"
"6037","70,000.00","1515 41st Avenue","Sunset/Parkside","-122.50045999159848","37.75846667955495","5","2020"
"6038","70,000.00","523 Pierce Street","Hayes Valley","-122.4343934176918","37.774736786158364","2","2018"
"6042","40,000.00","1281 48th Avenue","Sunset/Parkside","-122.50827419403717","37.76259701085047","8","2015"
"6046","16,000.00","2575 37th Avenue","Sunset/Parkside","-122.4948025788814","37.738977666998814","1","2022"
"6048","86,794.00","888 Waller Street","Haight Ashbury","-122.43832092471463","37.77018415305088","10","2020"
"6049","20,000.00","583 Vienna Street","Excelsior","-122.43133824344082","37.719214280003406","8","2020"
"6054","56,000.00","196 27th Street","Noe Valley","-122.42454997884602","37.7470746457095","7","2018"
"6057","24,000.00","92 Malta Drive","West of Twin Peaks","-122.44402325527788","37.736553850366185","9","2021"
"6058","4,000.00","323 Monterey Boulevard","West of Twin Peaks","-122.4425973478058","37.73150635901701","12","2021"
"6059","30,000.00","1555 Oak Street","Haight Ashbury","-122.44495323360628","37.77215658353115","10","2015"
"6061","49,000.00","330 Woodside Avenue","West of Twin Peaks","-122.45319982532703","37.74558770403808","6","2021"
"6068","12,500.00","1656 Beach Street","Marina","-122.43648148943568","37.80464589151401","9","2016"
"6070","7,700.00","373 Rolph Street","Excelsior","-122.43543072690491","37.71303668376852","3","2022"
"6071","8,700.00","473 Tehama Street","South of Market","-122.40598947145291","37.77979781365662","10","2021"
"6077","","88 Townsend Avenue","Financial District/South Beach","-122.39034490282857","37.780805102063155","3","2022"
"6082","25,000.00","1620 La Salle Avenue","Bayview Hunters Point","-122.38914946835244","37.73679492164725","7","2018"
"6083","5,800.00","1288 Green Street","Russian Hill","-122.42028493200229","37.79811840969208","3","2021"
"6084","75,000.00","672 Alvarado Street","Noe Valley","-122.43590203482287","37.75361013563628","11","2020"
"6086","","345 Rivera Street","West of Twin Peaks","-122.47006584458728","37.747020186779764","11","2018"
