"address","...1","date","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","year","month","lat","lon"
"1646 ALABAMA ST , San Francisco, CA, USA",263071,NA,"5526","7",1646,NA,"ALABAMA","ST",1,NA,NA,"37.746145600000006","-122.41083957151163"
"1646 MCKINNON AV , San Francisco, CA, USA",207080,"12/08/2010","5296","7",1646,NA,"MCKINNON","AV",1,"08",2010,"37.736885","-122.390498"
"1648 MCKINNON AV , San Francisco, CA, USA",207081,"12/08/2010","5296","7",1648,NA,"MCKINNON","AV",1,"08",2010,"37.736885","-122.390498"
"1649 10TH AV , San Francisco, CA, USA",202512,"26/08/2008","1933","8",1649,NA,"10TH","AV",1,"08",2008,"37.7575592","-122.4671252"
"165 NOE ST , San Francisco, CA, USA",496556,"14/11/2018","3541","30",165,NA,"NOE","ST",1,"11",2018,"37.766425","-122.433019"
"165 SUMMIT WY , San Francisco, CA, USA",520616,"02/09/2015","7331","232",165,NA,"SUMMIT","WY",2,"09",2015,"37.715387602005684","-122.47649739188032"
"165 SUMMIT WY , San Francisco, CA, USA",428188,"05/06/2015","7331","231",165,NA,"SUMMIT","WY",2,"06",2015,"37.715387602005684","-122.47649739188032"
"165 SUMMIT WY , San Francisco, CA, USA",486818,"24/11/2015","7331","231",165,NA,"SUMMIT","WY",2,"11",2015,"37.715387602005684","-122.47649739188032"
"1650 BROADWAY * , San Francisco, CA, USA",428872,"17/06/2015","570","11",1650,NA,"BROADWAY","*",34,"06",2015,"37.795779","-122.424387"
"1650 CHESTNUT ST , San Francisco, CA, USA",124462,"02/05/2012","482","14",1650,NA,"CHESTNUT","ST",1,"05",2012,"37.80182","-122.430609"
"1651 LARKIN ST , San Francisco, CA, USA",532254,"26/09/2017","620","2",1651,NA,"LARKIN","ST",1,"09",2017,"37.793215599999996","-122.41979983563891"
"1651 LARKIN ST , San Francisco, CA, USA",350815,"04/12/2015","620","2",1651,NA,"LARKIN","ST",1,"12",2015,"37.793215599999996","-122.41979983563891"
"1655 DOLORES ST , San Francisco, CA, USA",189892,"10/04/2007","6636","19",1655,NA,"DOLORES","ST",1,"04",2007,"37.74286585","-122.42401292826987"
"1655 DOLORES ST , San Francisco, CA, USA",306610,"15/09/2008","6636","19",1655,NA,"DOLORES","ST",1,"09",2008,"37.74286585","-122.42401292826987"
"1655 MASON ST , San Francisco, CA, USA",269344,NA,"128","2",1655,NA,"MASON","ST",1,NA,NA,"37.79865255102041","-122.41229904081632"
"1656 POST ST , San Francisco, CA, USA",317404,"25/04/2016","686","40",1656,NA,"POST","ST",4,"04",2016,"37.785904","-122.42908"
"1656 POST ST , San Francisco, CA, USA",520482,"18/09/2015","686","40",1656,NA,"POST","ST",4,"09",2015,"37.785904","-122.42908"
"1657 42ND AV , San Francisco, CA, USA",427279,"04/06/2015","1901","12",1657,NA,"42ND","AV",1,"06",2015,"37.755768","-122.501632"
"1657 CLEMENT ST , San Francisco, CA, USA",384138,"16/02/2018","1449","45",1657,NA,"CLEMENT","ST",1,"02",2018,"37.782197100000005","-122.47709522870957"
"1657 CLEMENT ST , San Francisco, CA, USA",498255,"27/11/2018","1449","45",1657,NA,"CLEMENT","ST",1,"11",2018,"37.782197100000005","-122.47709522870957"
"1658 A 10TH AV , San Francisco, CA, USA",345691,"17/08/2018","1934","29",1658,"A","10TH","AV",1,"08",2018,"37.757322","-122.46681353061224"
"166 29TH ST , San Francisco, CA, USA",302755,"05/09/2007","6617","16",166,NA,"29TH","ST",3,"09",2007,"37.74407015","-122.42375389942603"
"166 PALO ALTO AV , San Francisco, CA, USA",321742,"04/04/2017","2721","75",166,NA,"PALO ALTO","AV",1,"04",2017,"37.756984349999996","-122.4498538026203"
"166 PARK ST , San Francisco, CA, USA",422441,"16/07/2018","5720","51",166,NA,"PARK","ST",1,"07",2018,"37.736355","-122.421822"
"166 SPROULE LN , San Francisco, CA, USA",432880,"16/06/2016","222","161",166,NA,"SPROULE","LN",2,"06",2016,"37.79320832653061","-122.41193955102041"
"166 SPROULE LN , San Francisco, CA, USA",328469,"20/04/2018","222","161",166,NA,"SPROULE","LN",2,"04",2018,"37.79320832653061","-122.41193955102041"
