Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B173122,12/19/2017,,,,,,2587 37th Avenue,94116,4,Sunset/Parkside,POINT (-122.49478829197923 37.73877197652462),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B182646,09/19/2018,06/03/2019,"88,000.00",,,3,1227 40th Avenue,94122,4,Sunset/Parkside,POINT (-122.49976883141066 37.763912057622754),100,39,10,7,35,35,8,3,1,56,1,,,,39
B171757,07/07/2017,,,,,,210 Somerset Street,94134,9,Portola,POINT (-122.4085152553052 37.72880849874257),100,91,2,2,25,28,3,7,10,309,2,,,,91
B221707,08/16/2022,,,,,,3254 16th Street,94103,8,Mission,POINT (-122.42539249819283 37.764738342304405),100,37,3,5,20,19,4,5,8,"28,853",2,,,,37
B183252,12/03/2018,12/03/2018,"12,637.38",,,1,980 Bush Street,94102,3,Nob Hill,POINT (-122.41337256187614 37.789608671454324),100,50,6,3,21,21,1,10,5,"28,858",1,,,,50
B162484,07/29/2016,,,,,,662 De Haro Street,94107,10,Potrero Hill,POINT (-122.40129509756687 37.76150799990163),100,54,2,9,26,29,3,8,10,"28,856",1,,,,54
B170929,04/05/2017,05/26/2017,0.00,,,2,1863 35th Avenue,94122,4,Sunset/Parkside,POINT (-122.4935848610919 37.7523284757295),100,39,10,7,35,35,8,3,1,56,1,,,,39
B170738,03/22/2017,08/03/2018,"131,789.71",,,1,2942 Franklin Street,94123,2,Marina,POINT (-122.4262467512008 37.80153585317077),100,17,4,6,13,17,9,1,13,57,1,,,,17
B210451,03/30/2021,,,,,,475 Alvarado Street,94114,8,Noe Valley,POINT (-122.43151049600972 37.753837489880915),100,52,3,5,22,22,4,5,2,"28,862",1,,,,52
B162473,07/26/2016,,,,,,1637 Washington Street,94109,3,Russian Hill,POINT (-122.42022316013353 37.79336461796078),100,105,4,3,32,32,9,10,13,"28,858",1,,,,105
B182275,07/23/2018,,,,,,1571 Sacramento Street,94109,3,Nob Hill,POINT (-122.41871288602611 37.791751239291216),100,16,6,3,21,21,1,10,5,"28,858",1,,,,16
B181769,06/11/2018,09/14/2018,"22,107.82",,,1,3640 26th Street,94110,8,Mission,POINT (-122.42184617611878 37.74884943650089),100,53,3,5,20,19,4,5,2,"28,859",1,,,,53
B181934,06/25/2018,,,,,,3040 Fulton Street,94118,1,Inner Richmond,POINT (-122.46422207003374 37.773597840086445),100,5,8,4,11,11,6,2,11,54,1,,,,5
B151374,06/02/2015,08/11/2015,"14,000.00",,true,2,1755 11th Avenue,94122,7,Inner Sunset,POINT (-122.46790838442033 37.75547402889526),100,44,10,8,14,12,8,4,1,56,1,,,,44
B172724,10/27/2017,,,,,,1223 44th Avenue,94122,4,Sunset/Parkside,POINT (-122.50406279197436 37.763792679583155),100,39,10,7,35,35,8,3,1,56,1,,,,39
B153129,11/12/2015,02/19/2016,"35,000.00",,,1,733 Fillmore Street,94117,5,Hayes Valley,POINT (-122.43131232988061 37.776168050480976),100,23,4,11,9,10,9,11,15,"29,492",1,,,,23
B161218,03/28/2016,,,,,,2174 CALIFORNIA Street,94115,2,Pacific Heights,POINT (-122.43010938435496 37.789414650072644),100,102,4,6,30,27,9,1,13,"29,490",1,,,,102
