"","nhood","city","county","price","beds","baths","sqft","room_in_apt","address","lat","lon","d"
"11277","bernal","san francisco","san francisco",1200,1,NA,650,0,NA,NA,NA,2011-11-14
"11279","bernal","san francisco","san francisco",1450,1,NA,500,0,NA,NA,NA,2011-11-15
"11281","bernal","san francisco","san francisco",1995,2,NA,850,0,NA,NA,NA,2015-01-06
"11283","bernal","san francisco","san francisco",3750,3,NA,2400,0,NA,NA,NA,2015-01-06
"11284","bernal","san francisco","san francisco",6500,3,2,2000,0,NA,NA,NA,2015-01-06
"11293","bernal","san francisco","san francisco",2500,2,NA,1000,0,NA,NA,NA,2011-11-16
"11300","bernal","san francisco","san francisco",3990,3,NA,1953,0,NA,NA,NA,2011-11-19
"11302","bernal","san francisco","san francisco",2500,2,2,1350,0,NA,NA,NA,2012-03-07
"11307","bernal","san francisco","san francisco",6000,4,2,1042,0,NA,NA,NA,2015-03-16
"11310","bernal","san francisco","san francisco",2000,1,NA,650,0,NA,NA,NA,2011-12-11
"11312","bernal","san francisco","san francisco",3995,3,NA,2230,0,NA,37.737709,NA,2013-12-31
"11313","bernal","san francisco","san francisco",15000,4,NA,2700,0,NA,NA,NA,2016-11-03
"11314","bernal","san francisco","san francisco",2200,2,NA,1500,0,NA,NA,NA,2011-11-25
"11315","bernal","san francisco","san francisco",3000,3,1,1150,0,NA,NA,NA,2011-11-25
"11316","bernal","san francisco","san francisco",3500,3,NA,1400,0,NA,NA,NA,2011-11-25
"11317","bernal","san francisco","san francisco",3990,3,1.5,1953,0,NA,NA,NA,2011-11-25
"11320","bernal","san francisco","san francisco",4150,3,NA,1800,0,NA,NA,NA,2016-01-08
"11321","bernal","san francisco","san francisco",1300,1,NA,365,0,NA,NA,NA,2014-08-03
"11326","bernal","san francisco","san francisco",1495,1,NA,400,0,NA,NA,NA,2011-11-30
"11339","bernal","san francisco","san francisco",1000,1,NA,900,0,NA,NA,NA,2011-09-24
"11341","bernal","san francisco","san francisco",3595,2,NA,725,0,NA,NA,NA,2018-02-20
"11342","bernal","san francisco","san francisco",5675,3,NA,1275,0,NA,NA,NA,2011-12-22
"11343","bernal","san francisco","san francisco",5000,3,2,1340,0,NA,NA,NA,2018-02-22
"11349","bernal","san francisco","san francisco",4800,3,NA,1300,0,NA,NA,NA,2012-08-05
"11351","bernal","san francisco","san francisco",4600,3,2,1100,0,NA,NA,NA,2016-09-24
"11357","bernal","san francisco","san francisco",2395,1,NA,550,0,NA,NA,NA,2018-05-17
"11362","bernal","san francisco","san francisco",3800,NA,NA,1900,0,NA,NA,NA,2007-09-11
"11363","bernal","san francisco","san francisco",2400,1,NA,1150,0,NA,NA,NA,2007-09-14
"11364","bernal","san francisco","san francisco",2495,1,1,650,0,NA,NA,NA,2013-04-26
"11366","bernal","san francisco","san francisco",3250,2,NA,750,0,NA,NA,NA,2015-10-22
"11372","bernal","san francisco","san francisco",3450,3,NA,1200,0,NA,NA,NA,2012-01-15
"11375","bernal","san francisco","san francisco",2495,2,NA,950,0,NA,NA,NA,2011-12-21
"11376","bernal","san francisco","san francisco",3450,2,NA,1050,0,NA,NA,NA,2012-05-25
"11378","bernal","san francisco","san francisco",3500,3,NA,950,0,NA,NA,NA,2012-04-02
"11388","bernal","san francisco","san francisco",12000,5,NA,2800,0,NA,37.74649,NA,2013-12-20
"11397","bernal","san francisco","san francisco",4500,3,NA,1750,0,NA,37.7471,NA,2013-12-30
"11400","bernal","san francisco","san francisco",4000,3,NA,1200,0,NA,NA,NA,2012-06-01
"11403","bernal","san francisco","san francisco",2500,2,1,850,0,NA,NA,NA,2012-01-07
"11405","bernal","san francisco","san francisco",7500,4,NA,1965,0,NA,NA,NA,2016-05-27
"11415","bernal","san francisco","san francisco",1600,0,NA,250,0,NA,NA,NA,2014-08-24
"11419","bernal","san francisco","san francisco",3100,3,NA,1800,0,NA,NA,NA,2011-09-23
