"...1","X","buyout_amount","address","nhood","long","lat","month","year","centroid_lat","centroid_long"
2336,5844,5000,"946 De Haro Street","Potrero Hill",-122.400964056047,37.7576848276471,7,2018,37.759056,-122.398618
2337,5846,35040,"1511 Lyon Street","Presidio Heights",-122.444911753171,37.7847835451682,12,2016,37.788849,-122.452228
2338,5847,8000,"893 Rhode Island Street","Potrero Hill",-122.401951016623,37.7585665798256,4,2016,37.759056,-122.398618
2339,5848,20000,"190 27th Avenue","Seacliff",-122.487282108848,37.7858827101563,12,2020,37.785975,-122.489522
2340,5855,15000,"12 College Terrace","Bernal Heights",-122.425940093103,37.7344071665548,9,2016,37.741391,-122.414033
2341,5857,32000,"1774 24th Avenue","Sunset/Parkside",-122.481845674146,37.7545139092765,6,2019,37.749026,-122.493742
2342,5858,75000,"15 White Street","Russian Hill",-122.419574624206,37.7973836154285,5,2018,37.800432,-122.417609
2343,5859,63500,"1832 Lyon Street","Pacific Heights",-122.445448879649,37.7877804756817,2,2017,37.792182,-122.432784
2344,5863,61750,"136 Noe Street","Castro/Upper Market",-122.433402453287,37.7669097410754,1,2016,37.758812,-122.435644
2345,5868,37500,"195 Henry Street","Castro/Upper Market",-122.435364356861,37.7665176502246,11,2019,37.758812,-122.435644
2346,5872,32500,"138 Raymond Avenue","Visitacion Valley",-122.405953123861,37.7128854119485,11,2015,37.713141,-122.408825
2347,5874,30000,"141 Paris Street","Excelsior/Outer Mission",-122.43140432028,37.7263157303005,6,2019,37.7223,-122.431224
2348,5875,32645,"1856 Filbert Street","Marina",-122.430044804566,37.7987716628198,6,2021,37.802877,-122.436969
2349,5878,47000,"420 Naples Street","Excelsior/Outer Mission",-122.430343813667,37.7220564985594,5,2016,37.7223,-122.431224
2350,5881,27000,"1400 Newcomb Avenue","Bayview Hunters Point",-122.386130884307,37.7331830340518,8,2021,37.730696,-122.388515
2351,5882,60000,"2159 california Street","Pacific Heights",-122.429866529979,37.789390777528,11,2016,37.792182,-122.432784
2352,5883,13960,"880 South Van Ness Avenue","Mission",-122.416953245139,37.7591183562503,5,2020,37.758338,-122.414678
2353,5888,5000,"1461 Page Street","Haight Ashbury/Hayes Valley",-122.444859100615,37.7712072137206,11,2020,37.76991,-122.447678
2354,5889,12000,"94 Keystone Way","West of Twin Peaks",-122.462771477209,37.7278955110987,9,2021,37.737955,-122.460363
2355,5891,30000,"2604 Gough Street","Marina",-122.427083989412,37.7973292347375,3,2019,37.802877,-122.436969
2356,5893,75000,"1422 Kearny Street","North Beach",-122.406056341218,37.8011118593901,2,2020,37.799254,-122.407458
2357,5896,26000,"543 40th Avenue","Outer Richmond",-122.500787678231,37.7785200287521,7,2017,37.776683,-122.489908
2358,5897,9000,"1275 Quesada Avenue","Bayview Hunters Point",-122.383522164697,37.72880827273,11,2018,37.730696,-122.388515
2359,5900,68796.46,"1906 Hyde Street","Russian Hill",-122.418869873003,37.7984242144497,10,2021,37.800432,-122.417609
2360,5902,45000,"1338 Jessie Street","Mission",-122.421124307734,37.7714018911109,9,2018,37.758338,-122.414678
2361,5904,34000,"726 Clementina Street","Financial District/South Beach/SOMA",-122.41109946903,37.7750967057574,5,2016,37.779527,-122.405727
2362,5906,10000,"1608 lyon Street","Presidio Heights",-122.445029908808,37.7857084367296,2,2018,37.788849,-122.452228
2363,5909,50000,"683 28th Street","Glen Park/Noe Valley",-122.43743949741,37.744637343104,11,2018,37.747095,-122.431421
2364,5910,16000,"1217 02nd Avenue","Inner Sunset",-122.458969117107,37.7659007900951,3,2020,37.762068,-122.467189
2365,5917,10143.13,"1433 Jefferson Street","Marina",-122.436155713066,37.8055908970576,1,2020,37.802877,-122.436969
2366,5918,101059.15,"524 Steiner Street","Haight Ashbury/Hayes Valley",-122.432501950346,37.7740405614731,5,2022,37.776425,-122.426235
2367,5919,30000,"3809 20th Street","Castro/Upper Market",-122.426058522454,37.7581878240314,10,2020,37.758812,-122.435644
2368,5920,40000,"193 Marietta Drive","West of Twin Peaks",-122.446488425545,37.7402397814457,3,2019,37.737955,-122.460363
2369,5921,51375,"185 19th Avenue","Outer Richmond",-122.478649973334,37.7845069515649,9,2017,37.776683,-122.489908
2370,5922,10000,"310 Columbus Avenue","North Beach",-122.40682559358,37.7980054885807,10,2020,37.799254,-122.407458
2371,5923,37500,"738 Hayes Street","Haight Ashbury/Hayes Valley",-122.428593551915,37.7762009013382,6,2019,37.776425,-122.426235
2372,5925,40000,"1667 Turk Street","Western Addition",-122.436502880804,37.7799192669665,6,2022,37.780587,-122.43451
2373,5934,65000,"1260 Vermont Street","Mission",-122.403500191145,37.7536960800931,11,2019,37.758338,-122.414678
2374,5935,150000,"953 Guerrero Street","Mission",-122.423202382321,37.7560678003606,9,2018,37.758338,-122.414678
2375,5937,14000.01,"2364 Pacific Avenue","Pacific Heights",-122.434147185547,37.7934562549539,6,2017,37.792182,-122.432784
2376,5943,20000,"3009 Mission Street","Mission",-122.418100407145,37.7489004781009,7,2018,37.758338,-122.414678
2377,5947,21540,"4162 25th Street","Glen Park/Noe Valley",-122.43310224529,37.7497787395481,6,2017,37.747095,-122.431421
2378,5948,39597,"471 14th Avenue","Outer Richmond",-122.47279713496,37.7792963862067,10,2016,37.776683,-122.489908
2379,5952,114110,"4034 20th Street","Castro/Upper Market",-122.431332947701,37.7579230195592,8,2020,37.758812,-122.435644
2380,5960,50000,"1110 Jackson Street","Nob Hill",-122.413462762319,37.7951966346641,10,2021,37.793044,-122.414461
2381,5962,30000,"39 Neptune Street","Bayview Hunters Point",-122.396965128,37.7307494730934,3,2016,37.730696,-122.388515
2382,5963,35000,"1938 18th Avenue","Inner Sunset",-122.47520388549,37.7516862974386,4,2018,37.762068,-122.467189
2383,5966,28155.68,"172 Dolores Street","Castro/Upper Market",-122.426713292964,37.7666981846215,6,2018,37.758812,-122.435644
2384,5968,52000,"1795 o’farrell Street","Western Addition",-122.434188162345,37.7830829480551,7,2019,37.780587,-122.43451
2385,5970,13000,"2575 37th Avenue","Sunset/Parkside",-122.494802578881,37.7389776669988,1,2022,37.749026,-122.493742
2386,5971,50000,"1959 Golden Gate Avenue","Lone Mountain/USF",-122.442824216664,37.7781559640381,4,2020,37.777975,-122.452816
2387,5975,115000,"162 Alhambra Street","Marina",-122.439055662771,37.8019025267365,4,2017,37.802877,-122.436969
2388,5981,50000,"1462 29th Avenue","Sunset/Parkside",-122.487607631883,37.7600763297883,12,2019,37.749026,-122.493742
2389,5982,13500,"1288 Green Street","Russian Hill",-122.420284932002,37.7981184096921,7,2016,37.800432,-122.417609
2390,5983,175000,"3432 22nd Street","Mission",-122.423956720943,37.7551578052634,11,2019,37.758338,-122.414678
